"Rank","NamedLiveTarget","AccessStatus","UncoveredTerminals","WhatToOpen","ScanHint","MainFamilies","InternalEvidenceName","InternalEvidencePlayfield"
"1","Omni Basic General Shop / ordinary Omni supermarket","Potentially live-accessible by named shop/area","39","Open every terminal in the shop/area once during one broad capture session.","Go to a named Omni shop of this tier that you can actually reach. Open every terminal once. Do not use old Omni-Trade coordinates.","Implants/clusters (15); Heavenly weapon construction/components/recipes (12); Legacy faction core departments (6); Likely duplicate/obsolete Refreshing Drink (3); Faction clothes/fashion (1)","ord_smarket_omni_basic","1183"
"2","Omni Superior General Shop / ordinary Omni supermarket","Potentially live-accessible by named shop/area","33","Open every terminal in the shop/area once during one broad capture session.","Go to a named Omni shop of this tier that you can actually reach. Open every terminal once. Do not use old Omni-Trade coordinates.","Heavenly weapon construction/components/recipes (12); Likely duplicate/obsolete Refreshing Drink (6); Legacy faction core departments (6); Other unresolved vendor terminal (4); Implants/clusters (2)","ord_smarket_omni_sup","1185"
"3","Clan Basic General Shop / ordinary Clan supermarket","Potentially live-accessible by named shop/area","30","Open every terminal in the shop/area once during one broad capture session.","Go to a named Clan shop of this tier that you can actually reach. Open every terminal once.","Implants/clusters (14); Legacy faction core departments (6); Heavenly weapon construction/components/recipes (6); Clan/Omni device variants (1); Likely duplicate/obsolete Refreshing Drink (1)","ord_smarket_clan_basic","1180"
"4","Omni Advanced General Shop / ordinary Omni supermarket","Potentially live-accessible by named shop/area","29","Open every terminal in the shop/area once during one broad capture session.","Go to a named Omni shop of this tier that you can actually reach. Open every terminal once. Do not use old Omni-Trade coordinates.","Heavenly weapon construction/components/recipes (12); Likely duplicate/obsolete Refreshing Drink (6); Legacy faction core departments (6); Implants/clusters (2); Faction clothes/fashion (1)","ord_smarket_omni_advanced","1184"
"5","Clan Superior General Shop / ordinary Clan supermarket","Potentially live-accessible by named shop/area","20","Open every terminal in the shop/area once during one broad capture session.","Go to a named Clan shop of this tier that you can actually reach. Open every terminal once.","Legacy faction core departments (6); Heavenly weapon construction/components/recipes (6); Other unresolved vendor terminal (2); Clan/Omni device variants (1); Likely duplicate/obsolete Refreshing Drink (1)","ord_smarket_clan_sup","1182"
"6","BS Signup (dng)","Special/dungeon; verify before travel","17","Open every terminal in the shop/area once during one broad capture session.","Unknown live route. Do not travel just for this unless you identify the named shop in-game.","OFAB vendors (17)","BS Signup (dng)","6007"
"7","Tower Shop (dungeon)","Special/dungeon; verify before travel","17","Open every terminal in the shop/area once during one broad capture session.","Unknown live route. Do not travel just for this unless you identify the named shop in-game.","ICC/tower shop special vendors (16); Containers/computers/furniture/specialty/cars (1)","Tower Shop (dungeon)","4704"
"8","Clan Advanced General Shop / ordinary Clan supermarket","Potentially live-accessible by named shop/area","17","Open every terminal in the shop/area once during one broad capture session.","Go to a named Clan shop of this tier that you can actually reach. Open every terminal once.","Heavenly weapon construction/components/recipes (6); Legacy faction core departments (5); Maps (1); Clan/Omni device variants (1); Likely duplicate/obsolete Refreshing Drink (1)","ord_smarket_clan_advanced","1181"
"9","neut_advanced_implants_shop","Unknown route","12","Open every terminal in the shop/area once during one broad capture session.","Unknown live route. Do not travel just for this unless you identify the named shop in-game.","Implants/clusters (12)","neut_advanced_implants_shop","2073"
"10","neut_basic_implants_shop","Unknown route","12","Open every terminal in the shop/area once during one broad capture session.","Unknown live route. Do not travel just for this unless you identify the named shop in-game.","Implants/clusters (12)","neut_basic_implants_shop","2064"
"11","Neutral Basic Specialty Shop / Specialist Commerce-style shop","Potentially live-accessible by named shop/area","6","Open every terminal in the shop/area once during one broad capture session.","Only scan if you know the named specialty/shop door. Open every terminal once, including Specialist Commerce-style terminals.","Containers/computers/furniture/specialty/cars (6)","spec_smarket_neut_basic","1193"
"12","Uncle Bazzits Workshop (Dng)","Special/dungeon; verify before travel","5","Open every terminal in the shop/area once during one broad capture session.","Unknown live route. Do not travel just for this unless you identify the named shop in-game.","Other unresolved vendor terminal (4); Faction clothes/fashion (1)","Uncle Bazzits Workshop (Dng)","4354"
"13","Arete Landing","Potentially live-accessible by named shop/area","5","Open every terminal in the shop/area once during one broad capture session.","Area-level target. If already there, scan visible shop/vendor terminals; no unverified coordinate claim.","Implants/clusters (4); Other unresolved vendor terminal (1)","Arete Landing","6553"
"14","Newland Desert","Potentially live-accessible by named shop/area","5","Open every terminal in the shop/area once during one broad capture session.","Area-level target. If already there, scan visible shop/vendor terminals; no unverified coordinate claim.","Other unresolved vendor terminal (2); Implants/clusters (1); Startup equipment (1); Classic armor terminals (1)","Newland Desert","565"
"15","Omni Advanced Specialty Shop / Specialist Commerce-style shop","Potentially live-accessible by named shop/area","4","Open every terminal in the shop/area once during one broad capture session.","Only scan if you know the named specialty/shop door. Open every terminal once, including Specialist Commerce-style terminals.","Containers/computers/furniture/specialty/cars (4)","spec_smarket_omni_advanced","1191"
"16","Clan Advanced Specialty Shop / Specialist Commerce-style shop","Potentially live-accessible by named shop/area","4","Open every terminal in the shop/area once during one broad capture session.","Only scan if you know the named specialty/shop door. Open every terminal once, including Specialist Commerce-style terminals.","Containers/computers/furniture/specialty/cars (4)","spec_smarket_clan_advanced","1189"
"17","Clan Superior Specialty Shop / Specialist Commerce-style shop","Potentially live-accessible by named shop/area","4","Open every terminal in the shop/area once during one broad capture session.","Only scan if you know the named specialty/shop door. Open every terminal once, including Specialist Commerce-style terminals.","Containers/computers/furniture/specialty/cars (4)","spec_smarket_clan_sup","1190"
"18","Omni Superior Specialty Shop / Specialist Commerce-style shop","Potentially live-accessible by named shop/area","4","Open every terminal in the shop/area once during one broad capture session.","Only scan if you know the named specialty/shop door. Open every terminal once, including Specialist Commerce-style terminals.","Containers/computers/furniture/specialty/cars (4)","spec_smarket_omni_sup","1192"
"19","Broken Shores","Potentially live-accessible by named shop/area","4","Open every terminal in the shop/area once during one broad capture session.","Area-level target. If already there, scan visible shop/vendor terminals; no unverified coordinate claim.","Legacy faction core departments (4)","Broken Shores","665"
"20","Omni-1 Trade","Potentially live-accessible by named shop/area","4","Open every terminal in the shop/area once during one broad capture session.","Area-level target. If already there, scan visible shop/vendor terminals; no unverified coordinate claim.","Startup equipment (4)","Omni-1 Trade","710"
"21","Old Athen","Potentially live-accessible by named shop/area","4","Open every terminal in the shop/area once during one broad capture session.","Area-level target. If already there, scan visible shop/vendor terminals; no unverified coordinate claim.","Startup equipment (4)","Old Athen","540"
"22","Hardware Dimenion - Superior","Unknown route","3","Open every terminal in the shop/area once during one broad capture session.","Unknown live route. Do not travel just for this unless you identify the named shop in-game.","Other unresolved vendor terminal (2); Classic armor terminals (1)","Hardware Dimenion - Superior","4565"
"23","Dimensional Shift - Basic","Unknown route","2","Open every terminal in the shop/area once during one broad capture session.","Unknown live route. Do not travel just for this unless you identify the named shop in-game.","Other unresolved vendor terminal (1); Implants/clusters (1)","Dimensional Shift - Basic","4567"
"24","Dimensional Shift - Superior","Unknown route","2","Open every terminal in the shop/area once during one broad capture session.","Unknown live route. Do not travel just for this unless you identify the named shop in-game.","Other unresolved vendor terminal (1); Implants/clusters (1)","Dimensional Shift - Superior","4569"
"25","Neutral Training","Potentially live-accessible by named shop/area","2","Open every terminal in the shop/area once during one broad capture session.","Area-level target. If already there, scan visible shop/vendor terminals; no unverified coordinate claim.","Startup equipment (2)","Neutral Training","954"
"26","Unicorn Outpost","Unknown route","2","Open every terminal in the shop/area once during one broad capture session.","Unknown live route. Do not travel just for this unless you identify the named shop in-game.","Other unresolved vendor terminal (2)","Unicorn Outpost","4364"
"27","Clan Registration dng","Special/dungeon; verify before travel","2","Open every terminal in the shop/area once during one broad capture session.","Unknown live route. Do not travel just for this unless you identify the named shop in-game.","Other unresolved vendor terminal (2)","Clan Registration dng","1426"
"28","Dimensional Shift - Advanced","Unknown route","2","Open every terminal in the shop/area once during one broad capture session.","Unknown live route. Do not travel just for this unless you identify the named shop in-game.","Other unresolved vendor terminal (1); Implants/clusters (1)","Dimensional Shift - Advanced","4568"
"29","Treepine Hut","Potentially live-accessible by named shop/area","2","Open every terminal in the shop/area once during one broad capture session.","Area-level target. If already there, scan visible shop/vendor terminals; no unverified coordinate claim.","Faction clothes/fashion (1); Legacy faction core departments (1)","Treepine Hut","1887"
"30","Holes in the Wall","Potentially live-accessible by named shop/area","2","Open every terminal in the shop/area once during one broad capture session.","Area-level target. If already there, scan visible shop/vendor terminals; no unverified coordinate claim.","Other unresolved vendor terminal (1); Containers/computers/furniture/specialty/cars (1)","Holes in the Wall","791"
"31","Varmint Woods","Potentially live-accessible by named shop/area","2","Open every terminal in the shop/area once during one broad capture session.","Area-level target. If already there, scan visible shop/vendor terminals; no unverified coordinate claim.","Legacy faction core departments (2)","Varmint Woods","600"
"32","Neutral Supermarket Basic","Unknown route","1","Open every terminal in the shop/area once during one broad capture session.","Unknown live route. Do not travel just for this unless you identify the named shop in-game.","Likely duplicate/obsolete Refreshing Drink (1)","Neutral Supermarket Basic","1186"
"33","New PVP PF","Unknown route","1","Open every terminal in the shop/area once during one broad capture session.","Unknown live route. Do not travel just for this unless you identify the named shop in-game.","Likely duplicate/obsolete Refreshing Drink (1)","New PVP PF","6104"
"34","SBC-Xpm Site Alpha Romeo 26","Unknown route","1","Open every terminal in the shop/area once during one broad capture session.","Unknown live route. Do not travel just for this unless you identify the named shop in-game.","Likely duplicate/obsolete Refreshing Drink (1)","SBC-Xpm Site Alpha Romeo 26","6305"
"35","ACD Omnilab (dng)","Special/dungeon; verify before travel","1","Open every terminal in the shop/area once during one broad capture session.","Unknown live route. Do not travel just for this unless you identify the named shop in-game.","Likely duplicate/obsolete Refreshing Drink (1)","ACD Omnilab (dng)","346"
"36","Neutral Supermarket Advanced","Unknown route","1","Open every terminal in the shop/area once during one broad capture session.","Unknown live route. Do not travel just for this unless you identify the named shop in-game.","Likely duplicate/obsolete Refreshing Drink (1)","Neutral Supermarket Advanced","1187"
"37","SBC-Xpm Site Alpha Romeo 23","Unknown route","1","Open every terminal in the shop/area once during one broad capture session.","Unknown live route. Do not travel just for this unless you identify the named shop in-game.","Likely duplicate/obsolete Refreshing Drink (1)","SBC-Xpm Site Alpha Romeo 23","6302"
"38","SBC-Xpm Site Alpha Romeo 25","Unknown route","1","Open every terminal in the shop/area once during one broad capture session.","Unknown live route. Do not travel just for this unless you identify the named shop in-game.","Likely duplicate/obsolete Refreshing Drink (1)","SBC-Xpm Site Alpha Romeo 25","6304"
"39","SBC-Xpm Site Alpha Romeo 27","Unknown route","1","Open every terminal in the shop/area once during one broad capture session.","Unknown live route. Do not travel just for this unless you identify the named shop in-game.","Likely duplicate/obsolete Refreshing Drink (1)","SBC-Xpm Site Alpha Romeo 27","6306"
"40","SBC-Xpm Site Alpha Romeo 24","Unknown route","1","Open every terminal in the shop/area once during one broad capture session.","Unknown live route. Do not travel just for this unless you identify the named shop in-game.","Likely duplicate/obsolete Refreshing Drink (1)","SBC-Xpm Site Alpha Romeo 24","6303"
"41","SBC-Xpm Site Alpha-Romeo 22","Unknown route","1","Open every terminal in the shop/area once during one broad capture session.","Unknown live route. Do not travel just for this unless you identify the named shop in-game.","Likely duplicate/obsolete Refreshing Drink (1)","SBC-Xpm Site Alpha-Romeo 22","6301"
"42","SBC-Xpm Site Alpha-Romeo 21","Unknown route","1","Open every terminal in the shop/area once during one broad capture session.","Unknown live route. Do not travel just for this unless you identify the named shop in-game.","Likely duplicate/obsolete Refreshing Drink (1)","SBC-Xpm Site Alpha-Romeo 21","6300"
"43","Hardware Dimension - Basic","Unknown route","1","Open every terminal in the shop/area once during one broad capture session.","Unknown live route. Do not travel just for this unless you identify the named shop in-game.","Classic armor terminals (1)","Hardware Dimension - Basic","4563"
"44","Lush Fields","Potentially live-accessible by named shop/area","1","Open every terminal in the shop/area once during one broad capture session.","Area-level target. If already there, scan visible shop/vendor terminals; no unverified coordinate claim.","Startup equipment (1)","Lush Fields","695"
"45","Hardware Dimension - Advanced","Unknown route","1","Open every terminal in the shop/area once during one broad capture session.","Unknown live route. Do not travel just for this unless you identify the named shop in-game.","Classic armor terminals (1)","Hardware Dimension - Advanced","4564"
"46","Andromeda","Potentially live-accessible by named shop/area","1","Open every terminal in the shop/area once during one broad capture session.","Area-level target. If already there, scan visible shop/vendor terminals; no unverified coordinate claim.","Containers/computers/furniture/specialty/cars (1)","Andromeda","655"
"47","Clan Training","Potentially live-accessible by named shop/area","1","Open every terminal in the shop/area once during one broad capture session.","Area-level target. If already there, scan visible shop/vendor terminals; no unverified coordinate claim.","Startup equipment (1)","Clan Training","952"
"48","Omni Training","Potentially live-accessible by named shop/area","1","Open every terminal in the shop/area once during one broad capture session.","Area-level target. If already there, scan visible shop/vendor terminals; no unverified coordinate claim.","Startup equipment (1)","Omni Training","950"
"49","Neutral organisation dng","Unknown route","1","Open every terminal in the shop/area once during one broad capture session.","Unknown live route. Do not travel just for this unless you identify the named shop in-game.","Other unresolved vendor terminal (1)","Neutral organisation dng","1428"
"50","Omni registration dng","Special/dungeon; verify before travel","1","Open every terminal in the shop/area once during one broad capture session.","Unknown live route. Do not travel just for this unless you identify the named shop in-game.","Other unresolved vendor terminal (1)","Omni registration dng","1427"
"51","ICC Holodeck Alien Training","Unknown route","1","Open every terminal in the shop/area once during one broad capture session.","Unknown live route. Do not travel just for this unless you identify the named shop in-game.","Other unresolved vendor terminal (1)","ICC Holodeck Alien Training","6131"
"52","Freelancers Inc. HQ - Old Athen","Potentially live-accessible by named shop/area","1","Open every terminal in the shop/area once during one broad capture session.","Area-level target. If already there, scan visible shop/vendor terminals; no unverified coordinate claim.","Other unresolved vendor terminal (1)","Freelancers Inc. HQ - Old Athen","7012"
"53","Freelancers Inc. HQ - Rome","Unknown route","1","Open every terminal in the shop/area once during one broad capture session.","Unknown live route. Do not travel just for this unless you identify the named shop in-game.","Other unresolved vendor terminal (1)","Freelancers Inc. HQ - Rome","7011"
